game_id,point_uid,team_line,player,touches,throws,completions,assists,secondary_assists,goals,turnovers,blocks,pulls,yards_gain_m,score_diff_start,point_result,num_possessions,clean_hold,hold,broken,break_scored,break_chance,hucks,swings,dumps
Disc Diva,Disc Diva_P07,D,Leo,1,1,1,0,0,0,0,1,0,-3.91,0,1,2,0,0,0,1,1,0,0,1
Disc Diva,Disc Diva_P09,D,Leo,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0
Disc Diva,Disc Diva_P10,O,Leo,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,1,0,0,0,0,0
Disc Diva,Disc Diva_P12,O,Leo,4,2,2,0,0,0,0,0,0,27.07,-1,0,1,0,0,1,0,0,0,0,1
Disc Diva,Disc Diva_P13,O,Leo,2,1,1,1,0,0,0,0,0,35.63,-2,1,1,1,1,0,0,0,0,0,0
Disc Diva,Disc Diva_P14,D,Leo,0,0,0,0,0,0,0,0,0,0.0,-1,0,0,0,0,0,0,0,0,0,0
Disc Diva,Disc Diva_P15,O,Leo,0,0,0,0,0,0,0,0,0,0.0,-2,0,1,0,0,1,0,0,0,0,0
Disc Diva,Disc Diva_P16,O,Leo,0,0,0,0,0,0,0,0,0,0.0,-3,0,1,0,0,1,0,0,0,0,0
Disc Diva,Disc Diva_P18,D,Leo,4,2,2,0,0,0,0,0,0,13.61,-3,0,2,0,0,0,0,1,0,0,1
Disc Diva,Disc Diva_P20,O,Leo,2,1,0,0,0,0,1,0,0,25.88,-5,0,2,0,0,1,0,0,0,0,0
Disc Diva,Disc Diva_P22,O,Leo,4,2,2,0,1,0,0,0,0,52.8,-7,1,1,1,1,0,0,0,0,0,0
Disc Diva,Disc Diva_P23,D,Leo,4,2,2,0,0,1,0,0,0,36.52,-6,1,2,0,0,0,1,1,0,1,0
Disc Diva,Disc Diva_P05,D,Olivia ,0,0,0,0,0,0,0,0,0,0.0,0,0,2,0,0,0,0,1,0,0,0
Disc Diva,Disc Diva_P07,D,Olivia ,1,0,0,0,0,1,0,0,0,16.43,0,1,2,0,0,0,1,1,0,0,0
Disc Diva,Disc Diva_P08,D,Olivia ,4,2,2,0,1,0,0,0,0,39.19,1,1,5,0,0,0,1,1,0,0,0
Disc Diva,Disc Diva_P10,O,Olivia ,2,1,0,0,0,0,1,0,0,18.21,1,0,1,0,0,1,0,0,0,0,0
Disc Diva,Disc Diva_P12,O,Olivia ,0,0,0,0,0,0,0,0,0,0.0,-1,0,1,0,0,1,0,0,0,0,0
Disc Diva,Disc Diva_P15,O,Olivia ,0,0,0,0,0,0,0,0,0,0.0,-2,0,1,0,0,1,0,0,0,0,0
Disc Diva,Disc Diva_P16,O,Olivia ,0,0,0,0,0,0,0,0,0,0.0,-3,0,1,0,0,1,0,0,0,0,0
